Player;Age;Tm;PER;TRB%;AST%;STL%;BLK%
Darnell Hillman;28;NJN;14.6;13.4;5.8;1.7;1.9
Howard Porter;29;NJN;18.3;10.4;5.1;0.9;1.4
John Kuester;22;KCK;12.2;4.8;26.3;2.1;0
Bo Ellis;23;DEN;9.1;12.9;7.7;1.8;2
Cedric Maxwell;22;BOS;17.8;15.9;7.6;2;2
Mike Newlin;29;HOU;16;5.4;24.2;2.1;0.4
Lloyd Neal;27;POR;19.8;16.5;10.3;1.1;1
Toby Knight;22;NYK;12.2;14.2;4.3;1.9;1.2
Ed Ratleff;27;HOU;11.5;7.4;16.8;2.4;1
Tom Boswell;24;BOS;12.9;12.7;8.6;1;0.6
Mike Green;26;SAS;14.3;14.1;7.4;0.9;3.8
Larry Steele;28;POR;13.8;5.2;10.7;2.4;0.2
Ron Behagen;27;IND;13.5;14.3;8.4;1.3;0.9
Rickey Green;23;GSW;9.3;5.4;17.6;2.4;0
Jim Price;28;DEN;11.2;7.5;18.9;2.8;0.2
Charlie Scott;29;BOS;12.3;4.8;19.3;2.1;0.3
Bill Willoughby;20;BUF;10.9;10.9;4.9;1;2.3
John Lambert;25;CLE;10.8;15.3;4.7;1.2;2.4
Eddie Jordan;23;NJN;16.6;5;19.8;4.7;0.9
Bob Carrington;24;NJN;8.3;5.3;7.2;1.8;0.6
Glen Gondrezick;22;NYK;10.1;12.7;9.9;2.4;0.9
Kevin Stacom;26;BOS;12;5.4;16.3;1.3;0.2
Wally Walker;23;SEA;12.5;10.2;10;1.1;0.5
Mack Calvin;30;DEN;14;4.4;20.1;2.1;0.3
Mike Flynn;24;IND;11.6;6;19.6;1.9;0.5
Adrian Dantley;21;IND;23.4;11.1;10.2;2.2;0.9
Mike Glenn;22;BUF;14.3;4.5;12.6;1.7;0.3
Phil Chenier;27;WSB;14.8;5.4;11.3;1.7;0.5
Greg Ballard;23;WSB;14.1;14.1;8.8;1.4;0.7
Mike Bratz;22;PHO;9.5;6.3;17.1;1.8;0.3
Tony Robertson;22;ATL;10.6;4.1;16.8;3.7;0.3
Mark Landsberger;22;CHI;14.5;17.7;6.3;1.1;0.4
Curtis Rowe;28;BOS;9.7;11.3;6.6;0.7;0.4
Bayard Forrest;23;PHO;12.2;14.5;17.8;1.1;2
Larry McNeill;27;BUF;16;11.5;7.5;0.9;0.6
Tom LaGarde;22;DEN;8.2;12.7;6.9;0.9;1
Kermit Washington;26;BOS;19.3;19.7;6.7;1.5;2.4
Kim Hughes;25;NJN;6.8;13.6;5.4;2.5;3
Ricky Marsh;23;GSW;8.4;4.5;13.9;1.5;1.2
Rudy Tomjanovich;29;HOU;17.1;8.6;5.9;0.8;0.3
Jim Price;28;DET;13.5;6.3;17.1;2.4;0.3
Terry Furlow;23;CLE;15.5;6.5;13.5;1.2;0.9
Curtis Perry;29;PHO;11.8;15.7;7.3;1.8;1.4
Nate Williams;27;GSW;15;7.1;7.8;2;1.4
Slick Watts;26;SEA;9.3;5.1;22.4;3;0.9
Charles Johnson;28;WSB;10.3;5.7;14;1.7;0.1
Gus Gerard;24;DET;13.2;9.5;7.8;1.9;1.4
Bob Nash;27;KCK;16.2;10.8;8.1;1.5;1.2
Alonzo Bradley;24;HOU;9;6.6;9.3;0.9;0.4
Cazzie Russell;33;CHI;11.6;5.7;11.5;1.1;0.3
Slick Watts;26;NOJ;12.7;6.1;27.3;3.1;1.1
T.R. Dunn;22;POR;11.7;10;7.6;2.8;0.6
Kermit Washington;26;LAL;15.1;19;5;1.1;1.6
Harvey Catchings;26;PHI;11.2;16.9;5.5;1.2;4.6
Darnell Hillman;28;DEN;12.1;16.4;9.4;0.8;2.5
Ralph Simpson;28;DET;11.7;5.8;16.8;1.9;0.2
Kenny Carr;22;LAL;9.2;14.5;4.7;1.1;1
Ted McClain;31;BUF;10.5;5.5;22.6;2.7;0.1
James Edwards;22;LAL;14.3;12.7;5.4;1;1.9
Tate Armstrong;22;CHI;11.1;5.2;15.7;1.5;0
Don Chaney;31;BOS;8.2;7.6;9.3;2.3;0.7
Steve Sheppard;23;CHI;11.5;10.2;9.2;0.9;0.2
